sn,pl3c
1190,FBgn0264562
1191,FBgn0002948
1192,FBgn0259712
1193,FBgn0259713
1194,FBgn0265425
1195,FBgn0259711
1196,FBgn0259716
1197,FBgn0259717
1198,FBgn0259714
1199,FBgn0259715
1200,FBgn0003300
1201,FBgn0039623
1202,FBgn0003302
1203,FBgn0039621
1204,FBgn0039626
1205,FBgn0039627
1206,FBgn0039625
1207,FBgn0262579
1208,FBgn0025678
1209,FBgn0050046
1210,FBgn0265424
1211,FBgn0263084
1212,FBgn0001145
1213,FBgn0032924
1214,FBgn0010504
1215,FBgn0030336
1216,FBgn0044419
1217,FBgn0036024
1218,FBgn0038815
1219,FBgn0016641
1220,FBgn0263080
1221,FBgn0267090
1222,FBgn0267091
1223,FBgn0010501
1224,FBgn0267204
1225,FBgn0034498
1226,FBgn0051615
1227,FBgn0029966
1228,FBgn0029961
1229,FBgn0029962
1230,FBgn0051614
1231,FBgn0262560
1232,FBgn0263260
1233,FBgn0029968
1234,FBgn0029969
1235,FBgn0263587
1236,FBgn0262943
1237,FBgn0051616
1238,FBgn0262945
1239,FBgn0262944
1240,FBgn0262948
1241,FBgn0267207
1242,FBgn0262577
1243,FBgn0051613
1244,FBgn0027528
1245,FBgn0027529
1246,FBgn0027526
1247,FBgn0027527
1248,FBgn0027524
1249,FBgn0027525
1250,FBgn0027521
1251,FBgn0034379
1252,FBgn0266083
1253,FBgn0266084
1254,FBgn0266086
1255,FBgn0266087
1256,FBgn0267206
1257,FBgn0034372
1258,FBgn0034371
1259,FBgn0034377
1260,FBgn0267893
1261,FBgn0026320
1262,FBgn0037489
1263,FBgn0051618
1264,FBgn0037578
1265,FBgn0030259
1266,FBgn0030706
1267,FBgn0065055
1268,FBgn0030704
1269,FBgn0030257
1270,FBgn0037570
1271,FBgn0030703
1272,FBgn0030700
1273,FBgn0030701
1274,FBgn0033471
1275,FBgn0036150
1276,FBgn0085256
1277,FBgn0036152
1278,FBgn0036155
1279,FBgn0036154
1280,FBgn0036157
1281,FBgn0033476
1282,FBgn0036159
1283,FBgn0036158
1284,FBgn0036629
1285,FBgn0085259
1286,FBgn0267208
1287,FBgn0038851
1288,FBgn0015519
1289,FBgn0015040
1290,FBgn0040717
1291,FBgn0040715
1292,FBgn0015513
1293,FBgn0038282
1294,FBgn0038281
1295,FBgn0038280
1296,FBgn0267689
1297,FBgn0038286
1298,FBgn0038285
1299,FBgn0026433
1300,FBgn0026432
1301,FBgn0026431
1302,FBgn0026430
1303,FBgn0262582
1304,FBgn0267680
1305,FBgn0050412
1306,FBgn0267682
1307,FBgn0030338
1308,FBgn0050369
1309,FBgn0050362
1310,FBgn0050363
1311,FBgn0050360
1312,FBgn0050361
1313,FBgn0050366
1314,FBgn0050364
1315,FBgn0050365
