"FBgn","ModID"
"FBgn0032707","turquoise"
"FBgn0262316","turquoise"
"FBgn0023526","lightcyan"
"FBgn0023527","black"
"FBgn0023524","blue"
"FBgn0086051","grey"
"FBgn0086057","turquoise"
"FBgn0086056","turquoise"
"FBgn0265856","turquoise"
"FBgn0265857","turquoise"
"FBgn0265852","cyan"
"FBgn0035880","red"
"FBgn0265851","brown"
"FBgn0038405","blue"
"FBgn0003933","black"
"FBgn0003930","red"
"FBgn0066084","lightyellow"
"FBgn0003934","black"
"FBgn0050476","black"
"FBgn0038877","turquoise"
"FBgn0039396","blue"
"FBgn0038878","turquoise"
"FBgn0001269","turquoise"
"FBgn0039872","brown"
"FBgn0038402","grey"
"FBgn0032603","turquoise"
"FBgn0001263","red"
"FBgn0050418","red"
"FBgn0032602","brown"
"FBgn0085224","black"
"FBgn0052344","black"
"FBgn0263121","greenyellow"
"FBgn0052801","blue"
"FBgn0052803","black"
"FBgn0261998","turquoise"
"FBgn0261990","turquoise"
"FBgn0263834","blue"
"FBgn0261995","turquoise"
"FBgn0267115","turquoise"
"FBgn0260463","turquoise"
"FBgn0263832","pink"
"FBgn0037963","royalblue"
"FBgn0053310","blue"
"FBgn0033731","cyan"
"FBgn0050356","blue"
"FBgn0024273","turquoise"
"FBgn0263831","black"
"FBgn0024277","blue"
"FBgn0263047","black"
"FBgn0263046","turquoise"
"FBgn0036796","black"
"FBgn0263049","turquoise"
"FBgn0263048","grey"
"FBgn0033367","turquoise"
"FBgn0267164","turquoise"
"FBgn0260224","black"
"FBgn0260222","black"
"FBgn0260223","greenyellow"
"FBgn0086603","grey"
"FBgn0033616","grey"
"FBgn0260228","turquoise"
"FBgn0260229","darkturquoise"
"FBgn0029003","turquoise"
"FBgn0261574","royalblue"
"FBgn0261570","grey"
"FBgn0261573","black"
"FBgn0267119","blue"
"FBgn0038449","brown"
"FBgn0030816","turquoise"
"FBgn0038919","turquoise"
"FBgn0037661","black"
"FBgn0035160","black"
"FBgn0035162","black"
"FBgn0035165","brown"
"FBgn0035164","black"
